details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159935,9/26/20 20:30,Lincoln,NH,USA,Triangle,"Two UAPs seen on September 26, 2020 from Pemigewassett Overlook.",10/14/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159616,9/26/20 18:39,Bridgewater,MA,USA,Circle,3 round crafts and a hidden 4th,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159567,9/26/20 18:30,Ville Platte,LA,USA,Cigar,White cigar shape flying straight with no sound or light emitted.,9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159571,9/26/20 16:29,Ellicottville,NY,USA,Disk,UFO stops by to see Fall Foliage,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159795,9/26/20 12:12,Littlerock,CA,USA,,MADAR Node 56,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159599,9/26/20 5:00,Sanford,FL,USA,Orb,Floating Pulsating Orb,9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159797,9/26/20 3:18,Furlong,PA,USA,,MADAR Node 38,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159597,9/26/20 3:00,South Bend/Jacksonville,AR,USA,Diamond,Saturday morning around 3am I was on my front deck looking out into the hay field across the street. It completely dark except for the,9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159794,9/26/20 1:54,Edmonds,WA,USA,,MADAR Node 61,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159557,9/26/20 0:34,Huntsville,AL,USA,Light,A flying object was seen traveling SW slowly in a straight line. The object had one red and two green flashing lights. The object insta,9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159570,9/25/20 23:00,Sanford,NC,USA,Changing,Spherical ball of orange/yellow/white light changed shape and color to square then disc shape airplanes did come close and light would,9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159608,9/25/20 22:30,Fountain Hills,AZ,USA,Light,rotating colored light on a mountain top,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159568,9/25/20 21:45,Kitchener (Canada),ON,Canada,Orb,Multiple lit orbs. ((Starlink satellites?)),9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159558,9/25/20 19:55,Barstow,TX,USA,Fireball,5 fireball UFO' s that changed directions.,9/25/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159688,9/25/20 13:28,Plantation,FL,USA,Disk,Black disc shaped saucer seen flying underneath the clouds then shooting up into sky.,10/2/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159720,9/25/20 12:00,Miami,FL,USA,Unknown,Unidentifiable Object Seen in Miami Fall 2020!,10/2/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159611,9/25/20 10:30,Conneautville,PA,USA,Light,Object would blink every 30 seconds. At first it was stationary. Right by the dipper but then moved to the south west. Second time I ha,9/29/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159549,9/25/20 7:00,Lake Alfred,FL,USA,Oval,Pack of lights at sunrise over Legoland Florida area.,9/25/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159553,9/25/20 0:35,Victorville,CA,USA,Circle,White circular craft hovering over my house a mile up with 2 black inner circles.,9/25/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159792,9/25/20 0:20,Aliquippa,PA,USA,,MADAR Node 68,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159554,9/24/20 23:23,Orlando,FL,USA,Triangle,Huge triangle Shape with flashing lights craft hovering seen from I4 highway.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=160823,9/24/20 23:00,Modesto,CA,USA,Light,"Silent orangish lights, 4 of them flying low.",11/25/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=160250,9/24/20 22:43,Altoona,PA,USA,Disk,"On September 24,2020 I saw one large object saucer with lights in sky size of a bus. It was at 10:43 p.m. at night flying across the sk",10/26/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159535,9/24/20 22:15,Weston,WV,USA,Fireball,Fireball like object seen in sky from Weston WV.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159544,9/24/20 22:00,Dallas Center,IA,USA,Light,"Multi colored flashing object zig zags across the sky, then splits into a triangle and disappears.",9/25/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159541,9/24/20 21:15,Parker,CO,USA,Other,Giant bright blue beam shot across the sky.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159543,9/24/20 19:30,Coventry,CT,USA,Light,Big bright light above me in the night sky hovered for a moment before getting dim and flying away.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159542,9/24/20 18:30,Georgetown,CO,USA,Light,"Bright star like object during daylight appear, vanish, reappear, then vanish.",9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159790,9/24/20 15:15,Payson,IL,USA,,MADAR Node 97,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=161406,9/24/20 11:00,WHITE TWP.,NJ,USA,Disk,2 OBJECTS NOT SEEN UNTIL EXPOSED,12/31/20,1/19/21,,,,,,,
https://nuforc.org/sighting/?id=159929,9/24/20 8:37,Scottsdale,AZ,USA,Disk,"UFO spotted north of Scottsdale Airpark Sept 24, 8:37AM. White tic-tac shaped UFO stationary, then moves at incredible speed.",10/13/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159540,9/24/20 7:46,Windham,NH,USA,Triangle,2nd ufo sighting same place.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159789,9/24/20 5:40,Santa Claus,IN,USA,,MADAR Node 114,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159538,9/24/20 5:25,Tecumseh (Canada),ON,Canada,Triangle,Single object hoovering over a baseball diamond / arena. Object appeared to be triangular with 3 white lights on each side and one sing,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159526,9/24/20 1:36,Fort Collins,CO,USA,Triangle,Silent black triangle with faint lights.,9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=160140,9/23/20 23:51,Virginia Beach,VA,USA,Fireball,They were fast red orbs that gravitated to a pulsating light of of the water of the ocean.,10/22/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159532,9/23/20 23:00,Ronkonkoma,NY,USA,Triangle,"On September 23, 2020 approximately 10:30 PM we were standing outside looking south when we see a UFO flying a very slow speed headin",9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159523,9/23/20 20:56,Chico,CA,USA,Formation,Light Formation (with faint outline of oblong craft in between lights) in night sky,9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=161610,9/23/20 20:40,Alexandria,VA,USA,Triangle,"Black Triangle UFO spotted at night over Woodrow Wilson bridge, following I-95 torwards Alexandria, VA.",1/13/21,1/19/21,,,,,,,
